trace_id,count_transaction,count_session_login,count_device_registration,count_beneficiary_addition,total_events,window_seconds,transactions_per_hour,mean_time_between_transactions,min_time_between_transactions,transactions_per_session,time_login_to_first_transaction,login_attempt_count_max,auth_failure_present,new_device_present,time_device_registration_to_transaction,beneficiary_added_before_transaction,time_from_beneficiary_add_to_transaction,failed_transaction_count,failed_then_completed,amount_mean,amount_max,amount_min,amount_std,amount_cv,amount_change_after_failure,amount_trend,distinct_channels,fraud,attack_family,attack_difficulty,customer_id,HESITATION_DELTA
atk-f2b2bac3,2,1,1,1,5,600.0,12.0,240.0,240.0,2.0,360.0,1,0,1,360.0,1,0.0,2,0,33227.52,36044.06,30410.98,2816.539999999999,0.0847652789013444,1,-1.0,1,1,ACCOUNT_TAKEOVER,easy,c082482e-6a21-4dff-8bab-be7c23762912,-1.5025140179867045
atk-cce0325f,3,1,1,1,6,1800.0,6.0,570.0,540.0,3.0,660.0,1,0,1,660.0,1,480.0,1,0,8363.116666666667,24721.86,100.0,11567.580438721354,1.3831662165884753,0,-1.0,1,1,ACCOUNT_TAKEOVER,easy,0514f0ad-c6f6-4730-8071-9d027367ef9c,-0.4687192136179495
atk-81d0cef0,3,1,1,1,6,2340.0,4.615384615384615,960.0,900.0,3.0,420.0,1,0,1,420.0,1,0.0,0,0,8326.353333333333,21713.89,209.98,9537.414341669806,1.1454491492077532,0,-1.0,1,1,ACCOUNT_TAKEOVER,easy,259fc45e-741c-4a4a-8d33-fe3f103add9a,-0.9386768193281495
atk-6973288b,1,1,1,1,4,1380.0,2.608695652173913,1380.0,1380.0,1.0,1380.0,1,0,1,1380.0,1,0.0,0,0,24309.94,24309.94,24309.94,0.0,0.0,0,0.0,1,1,ACCOUNT_TAKEOVER,easy,16ba6cb3-05ca-4736-ac25-21368e9e41cf,-0.6218991699249784
atk-f9be979c,0,1,1,0,2,1.0,0.0,1.0,1.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,medium,84fc8e5d-c282-45b2-973b-a15407b03728,0.0
atk-bff5231f,0,1,1,0,2,1.0,0.0,1.0,1.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,medium,1e6c9584-c4ed-4037-896c-cf880ebae805,0.0
atk-a753f2cf,1,1,1,1,4,6660.0,0.5405405405405405,6660.0,6660.0,1.0,6660.0,1,0,1,6660.0,1,0.0,0,0,13985.16,13985.16,13985.16,0.0,0.0,0,0.0,1,1,ACCOUNT_TAKEOVER,medium,bc42392e-9ebc-4b24-84ce-adb1994405df,-0.5974787296928183
atk-f95d478a,3,1,1,1,6,17037.0,0.6339144215530903,5098.5,52.0,3.0,6840.0,1,0,1,6840.0,1,0.0,0,0,6944.833333333333,16690.82,1807.76,6894.825611840294,0.9927992913446871,0,-1.0,1,1,ACCOUNT_TAKEOVER,medium,5888410f-b2b5-4beb-b481-c64dbe2b6c17,-0.5351519157311664
atk-b597c0f4,2,1,1,1,5,6903.0,1.0430247718383312,44.0,44.0,2.0,6859.0,1,0,1,6859.0,1,0.0,1,0,17829.385000000002,18293.27,17365.5,463.8850000000002,0.026018003425244345,0,-1.0,1,1,ACCOUNT_TAKEOVER,medium,9cb9bed9-fe71-463b-809d-526a8077ab40,-0.45570995985737006
atk-3f7106b2,2,1,1,1,5,10531.0,0.683695755388852,9.0,9.0,2.0,10522.0,1,0,1,10522.0,1,0.0,0,0,6529.115,7211.81,5846.42,682.6950000000002,0.10456164426572363,0,1.0,1,1,ACCOUNT_TAKEOVER,medium,bc42392e-9ebc-4b24-84ce-adb1994405df,-0.5974787296928183
atk-87e38be9,0,1,1,1,3,16500.0,0.0,16500.0,16500.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,medium,259fc45e-741c-4a4a-8d33-fe3f103add9a,0.0
atk-519eea1d,0,1,1,1,3,10620.0,0.0,10620.0,10620.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,medium,5ff212f1-a315-498a-a3d1-9afa715056c5,0.0
atk-d0488dee,3,1,1,1,6,17053.0,0.6333196505013781,2013.5,7.0,3.0,13026.0,1,0,1,13026.0,1,0.0,0,0,6598.71,7744.47,5772.27,836.2085691979005,0.12672303665381573,0,-1.0,1,1,ACCOUNT_TAKEOVER,medium,4a3172b4-c168-4e46-a2a2-f7a6442e491b,-0.5936190283258591
atk-dfbc1976,3,1,1,1,6,25583.0,0.4221553375288278,6341.5,36.0,3.0,12900.0,1,0,1,12900.0,1,4980.0,0,0,6669.516666666666,15630.48,2066.27,6337.150734161914,0.9501664139823097,0,-1.0,1,1,ACCOUNT_TAKEOVER,medium,42fec3c4-05a4-4a79-ade0-661be2827074,0.10611026270178422
atk-c9f0100e,4,1,1,1,7,9666.0,1.48975791433892,1749.3333333333333,11.0,4.0,4418.0,1,0,1,4418.0,1,0.0,1,1,9878.53,18827.02,1834.0,7665.2693065345065,0.7759524247569736,1,-1.0,1,1,ACCOUNT_TAKEOVER,medium,339dbdc6-5d4e-4ff3-b5f8-3a0922bcb11b,-0.666763441867446
atk-26ecff71,2,1,1,1,5,8464.0,0.8506616257088847,13.0,13.0,2.0,8451.0,1,0,1,8451.0,1,5751.0,0,0,6205.32,6609.48,5801.16,404.15999999999985,0.06513120999400512,0,1.0,1,1,ACCOUNT_TAKEOVER,medium,8d2b4595-90eb-457b-862c-c575a44e50c8,0.12127762025010659
atk-7c01cb77,2,1,1,1,5,5585.0,1.2891674127126231,19.0,19.0,2.0,5566.0,1,0,1,5566.0,1,0.0,0,0,8349.175,9630.7,7067.65,1281.5250000000005,0.15349121320369985,0,-1.0,1,1,ACCOUNT_TAKEOVER,medium,f777751c-882f-4233-a7ef-03edb93bbaa7,-0.6876106206223365
atk-eb1bc59e,2,1,1,1,5,13260.0,0.5429864253393666,3840.0,3840.0,2.0,9420.0,1,0,1,9420.0,1,3300.0,1,0,13399.099999999999,15262.3,11535.9,1863.1999999999998,0.13905411557492667,0,-1.0,1,1,ACCOUNT_TAKEOVER,medium,a4ae34e8-722e-44d5-bfc1-918c65cdc5cd,0.08033402263367495
atk-f24cdc53,0,1,1,0,2,1.0,0.0,1.0,1.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,medium,a4ae34e8-722e-44d5-bfc1-918c65cdc5cd,0.0
atk-1c128157,2,1,1,1,5,11019.0,0.6534168254832562,54.0,54.0,2.0,10965.0,1,0,1,10965.0,1,4185.0,0,0,8197.85,8619.75,7775.95,421.9000000000001,0.05146471330897736,0,1.0,1,1,ACCOUNT_TAKEOVER,medium,1653a6b5-1036-48ad-aa9b-802b8609a3df,-0.40436797416626225
atk-8238be22,3,1,1,1,6,12091.0,0.8932263667190472,2745.5,47.0,3.0,6600.0,1,0,1,6600.0,1,0.0,0,0,6433.013333333333,10356.94,3908.06,2812.4554045807654,0.4371909801597539,0,-1.0,1,1,ACCOUNT_TAKEOVER,medium,1653a6b5-1036-48ad-aa9b-802b8609a3df,-0.8968415798137941
atk-98e718a3,1,1,1,1,4,12180.0,0.2955665024630542,12180.0,12180.0,1.0,7380.0,1,0,1,-1.0,1,5520.0,0,0,16206.74,16206.74,16206.74,0.0,0.0,0,0.0,1,1,ACCOUNT_TAKEOVER,medium,b17a6899-624b-40e5-8d87-736f6f9750cb,0.2049556051090528
atk-ba3f0897,1,1,1,1,4,7020.0,0.5128205128205129,7020.0,7020.0,1.0,7020.0,1,0,1,7020.0,1,3060.0,0,0,16690.23,16690.23,16690.23,0.0,0.0,0,0.0,1,1,ACCOUNT_TAKEOVER,medium,92ecfbad-d07a-4a47-8dc1-f3c65f4e3c66,-0.09473986116049438
atk-42c383e5,2,1,1,1,5,5254.0,1.3703844689760183,48.0,48.0,2.0,5206.0,1,0,1,5206.0,1,0.0,0,0,5841.58,6674.61,5008.55,833.0299999999997,0.14260354219235202,0,-1.0,1,1,ACCOUNT_TAKEOVER,medium,92ecfbad-d07a-4a47-8dc1-f3c65f4e3c66,-0.5661722418829285
atk-c718413d,4,1,1,1,7,12499.0,1.15209216737339,724.6666666666666,9.0,4.0,10325.0,1,0,1,10325.0,1,4025.0,0,0,5174.16,7488.15,3598.0,1501.7485284993622,0.2902400637976719,0,-1.0,1,1,ACCOUNT_TAKEOVER,medium,a4ae34e8-722e-44d5-bfc1-918c65cdc5cd,0.23011400868232898
atk-8cf2532b,1,1,1,1,4,6720.0,0.5357142857142857,6720.0,6720.0,1.0,6720.0,1,0,1,6720.0,1,0.0,0,0,12486.8,12486.8,12486.8,0.0,0.0,0,0.0,1,1,ACCOUNT_TAKEOVER,medium,6f238d5a-c3e1-4357-83c3-56b89d2b523d,-0.65264443688858
atk-d5e08e23,2,1,1,0,4,18966.0,0.37962670041126223,42.0,42.0,2.0,18924.0,1,0,1,18924.0,0,-1.0,0,0,5473.110000000001,5571.25,5374.97,98.13999999999987,0.01793130413969386,0,1.0,1,1,ACCOUNT_TAKEOVER,medium,2444528b-4509-4809-a516-d55fbd5d508d,0.0
atk-264e71b9,4,1,1,1,7,14149.0,1.0177397695950243,3728.0,44.0,4.0,2965.0,1,0,1,2965.0,1,0.0,0,0,4099.6325,6002.98,2463.89,1347.5603666325117,0.3287027231422601,0,-1.0,1,1,ACCOUNT_TAKEOVER,medium,f08ca729-5847-4f8d-b5af-fdca2bb34649,-0.6384162735164621
atk-76b35e1d,2,1,1,1,5,11356.0,0.6340260655160267,53.0,53.0,2.0,11303.0,1,0,1,11303.0,1,0.0,1,0,15669.259999999998,16498.12,14840.4,828.8599999999997,0.052897201271789464,0,-1.0,1,1,ACCOUNT_TAKEOVER,medium,f08ca729-5847-4f8d-b5af-fdca2bb34649,-0.6384162735164621
atk-c565369a,0,1,1,0,2,1.0,0.0,1.0,1.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,hard,2444528b-4509-4809-a516-d55fbd5d508d,0.0
atk-50463689,2,1,1,1,5,145866.0,0.04936037184813459,30.0,30.0,2.0,145836.0,1,0,1,145836.0,1,0.0,1,0,17923.68,20744.38,15102.98,2820.7000000000007,0.1573728162966534,0,-1.0,1,1,ACCOUNT_TAKEOVER,hard,a4ae34e8-722e-44d5-bfc1-918c65cdc5cd,-0.6014231552429572
atk-dd4ca54a,15,1,1,0,17,403086.0,0.1339664488471443,22848.285714285714,8.0,15.0,83210.0,1,0,1,83210.0,0,-1.0,0,0,1090.7980000000002,2237.58,497.61,449.70698951206,0.41227339022629295,0,-1.0,1,1,ACCOUNT_TAKEOVER,hard,1653a6b5-1036-48ad-aa9b-802b8609a3df,0.0
atk-412c044c,3,1,1,1,6,181141.0,0.059622062371301916,36.0,24.0,3.0,181069.0,1,0,1,115669.0,1,0.0,0,0,2055.013333333333,2465.45,1697.6,315.7076823406248,0.15362804572587924,0,-1.0,1,1,ACCOUNT_TAKEOVER,hard,c082482e-6a21-4dff-8bab-be7c23762912,-1.5025140179867045
atk-5fcff523,5,1,1,1,8,128234.0,0.14036838903878845,12271.5,14.0,5.0,79148.0,1,0,1,79148.0,1,0.0,0,0,2108.634,2599.93,1559.1,409.0458579963865,0.1939861815736569,0,-1.0,1,1,ACCOUNT_TAKEOVER,hard,0514f0ad-c6f6-4730-8071-9d027367ef9c,-0.5650236508844856
atk-e2fe5122,6,1,0,0,7,143663.0,0.15035186512880838,12992.2,22.0,6.0,78702.0,1,0,0,-1.0,0,-1.0,1,1,5815.865000000001,13146.37,416.33,5506.25192476319,0.9467640539736031,1,-1.0,1,1,ACCOUNT_TAKEOVER,hard,c4db965a-f70f-4778-b4af-c4b29c66e15e,0.0
atk-65d77f58,2,1,1,0,4,109986.0,0.06546287709344827,39.0,39.0,2.0,109947.0,1,0,1,109947.0,0,-1.0,0,0,2474.0950000000003,2485.5,2462.69,11.404999999999973,0.0046097663994308915,0,1.0,1,1,ACCOUNT_TAKEOVER,hard,5ff212f1-a315-498a-a3d1-9afa715056c5,0.0
atk-67f66140,12,1,1,0,14,428986.0,0.1007025870308122,27003.0,18.0,12.0,131953.0,1,0,1,131953.0,0,-1.0,0,0,1411.2283333333335,1997.64,933.1,327.0631946793905,0.23175781477322271,0,1.0,1,1,ACCOUNT_TAKEOVER,hard,855f7663-6799-43eb-b79f-2cb8c3f0bf52,0.0
atk-41261d23,7,1,1,1,10,339308.0,0.07426880592264257,21356.833333333332,19.0,7.0,211167.0,1,0,1,126987.0,1,0.0,1,1,4730.7185714285715,15596.84,664.99,6279.5151561097655,1.327391401812662,1,-1.0,1,1,ACCOUNT_TAKEOVER,hard,f777751c-882f-4233-a7ef-03edb93bbaa7,-0.6876106206223365
atk-cd3d4d79,4,1,0,0,5,136210.0,0.10571911019748918,17684.666666666668,5.0,4.0,83156.0,1,0,0,-1.0,0,-1.0,0,0,1898.535,2231.99,1615.3,234.38624346364693,0.12345637213095725,0,-1.0,1,1,ACCOUNT_TAKEOVER,hard,bc42392e-9ebc-4b24-84ce-adb1994405df,0.0
atk-dae65174,3,1,1,0,5,199339.0,0.05417906179924651,17.5,14.0,3.0,199304.0,1,0,1,128504.0,0,-1.0,0,0,921.4,1133.5,764.78,155.55734719603146,0.16882716214025556,0,1.0,1,1,ACCOUNT_TAKEOVER,hard,b56b42e3-4b67-4eee-a294-17aa8de74cbb,0.0
atk-7fdfe645,0,1,1,0,2,1.0,0.0,1.0,1.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,hard,5888410f-b2b5-4beb-b481-c64dbe2b6c17,0.0
atk-198ef429,2,1,1,0,4,238322.0,0.030211226827569423,43.0,43.0,2.0,238279.0,1,0,1,77059.0,0,-1.0,0,0,2317.455,2492.41,2142.5,174.95499999999993,0.07549445404549385,0,-1.0,1,1,ACCOUNT_TAKEOVER,hard,f08ca729-5847-4f8d-b5af-fdca2bb34649,0.0
atk-dc3443a9,3,1,1,0,5,194916.0,0.055408483654497326,27.5,20.0,3.0,194861.0,1,0,1,194861.0,0,-1.0,0,0,1797.9399999999998,2044.42,1606.59,182.94491866861645,0.10175251602868643,0,-1.0,1,1,ACCOUNT_TAKEOVER,hard,b17a6899-624b-40e5-8d87-736f6f9750cb,0.0
atk-5a3c6f6f,10,1,1,1,13,359891.0,0.1000302869479926,26870.0,10.0,10.0,118061.0,1,0,1,118061.0,1,0.0,1,1,3682.887,17107.68,504.88,5675.342489690027,1.5410036989161022,1,-1.0,1,1,ACCOUNT_TAKEOVER,hard,f777751c-882f-4233-a7ef-03edb93bbaa7,-0.6876106206223365
atk-381d64a6,8,1,1,1,11,312926.0,0.0920345385170935,26323.428571428572,38.0,8.0,128662.0,1,0,1,128662.0,1,0.0,0,0,1917.74125,3274.39,667.98,892.8214392228366,0.4655588647440506,0,-1.0,1,1,ACCOUNT_TAKEOVER,hard,8d2b4595-90eb-457b-862c-c575a44e50c8,-0.4154374275325087
atk-ae280af5,14,1,1,1,17,465761.0,0.10821000470198235,29674.30769230769,7.0,14.0,79995.0,1,0,1,79995.0,1,0.0,0,0,1202.8514285714284,2526.34,282.87,695.057857898557,0.5778418193542368,0,-1.0,1,1,ACCOUNT_TAKEOVER,hard,0503245b-3e08-42ba-9f76-1f2537c61cdd,-0.556898755058119
atk-a5daa00d,6,1,1,0,8,339628.0,0.06359899654916557,17242.6,10.0,6.0,253415.0,1,0,1,253415.0,0,-1.0,0,0,1501.8366666666668,1845.33,1189.3,210.67312806546755,0.14027699066174587,0,-1.0,1,1,ACCOUNT_TAKEOVER,hard,92ecfbad-d07a-4a47-8dc1-f3c65f4e3c66,0.0
atk-2fa2a4bc,0,1,1,0,2,1.0,0.0,1.0,1.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,hard,8255f136-0bec-4181-9911-5378682e818f,0.0
atk-50dd7349,0,1,0,0,1,1.0,0.0,1.0,1.0,0.0,-1.0,1,0,0,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,hard,84fc8e5d-c282-45b2-973b-a15407b03728,0.0
atk-5f3d27da,5,1,1,0,7,354525.0,0.05077215993230379,15773.5,21.0,5.0,291431.0,1,0,1,233711.0,0,-1.0,0,0,1720.4340000000004,2328.88,1172.17,420.7846627718268,0.2445805318726709,0,1.0,1,1,ACCOUNT_TAKEOVER,hard,16ba6cb3-05ca-4736-ac25-21368e9e41cf,0.0
atk-98c83e30,8,1,1,0,10,164064.0,0.17554125219426567,17047.571428571428,9.0,8.0,44731.0,1,0,1,44731.0,0,-1.0,0,0,1504.37125,2140.73,956.4,364.9889474161341,0.24261893293702214,0,-1.0,1,1,ACCOUNT_TAKEOVER,hard,c4db965a-f70f-4778-b4af-c4b29c66e15e,0.0
atk-24135fce,2,1,1,0,4,85927.0,0.08379205604757527,59.0,59.0,2.0,85868.0,1,0,1,85868.0,0,-1.0,1,0,15339.605,18271.69,12407.52,2932.084999999999,0.1911447524235467,0,-1.0,1,1,ACCOUNT_TAKEOVER,hard,0687e982-47d2-4817-97ab-01be7a8c9984,0.0
atk-e7073a09,0,1,1,0,2,1.0,0.0,1.0,1.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,hard,8d2b4595-90eb-457b-862c-c575a44e50c8,0.0
atk-2074e852,2,1,0,0,3,118345.0,0.060839072204148886,59.0,59.0,2.0,118286.0,1,0,0,-1.0,0,-1.0,0,0,3270.4700000000003,3330.33,3210.61,59.8599999999999,0.018303179665308013,0,1.0,1,1,ACCOUNT_TAKEOVER,hard,d6d3d3f8-a8e7-4841-bc66-c08d12894506,0.0
atk-dd8e4368,0,1,0,0,1,1.0,0.0,1.0,1.0,0.0,-1.0,1,0,0,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,advanced,bc42392e-9ebc-4b24-84ce-adb1994405df,0.0
atk-265e5f25,5,1,0,0,6,740.0,24.324324324324326,27.0,13.0,5.0,632.0,1,0,0,-1.0,0,-1.0,2,0,7320.394,8639.64,6018.37,940.0608798285351,0.12841670541620234,0,1.0,1,1,ACCOUNT_TAKEOVER,advanced,855f7663-6799-43eb-b79f-2cb8c3f0bf52,0.0
atk-fc93ce72,0,1,0,0,1,1.0,0.0,1.0,1.0,0.0,-1.0,1,0,0,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,advanced,2444528b-4509-4809-a516-d55fbd5d508d,0.0
atk-36ef92f7,5,1,0,0,6,684.0,26.31578947368421,45.75,22.0,5.0,501.0,1,0,0,-1.0,0,-1.0,0,0,3703.2580000000003,4151.09,3194.47,353.05831463938085,0.0953372178334269,0,-1.0,1,1,ACCOUNT_TAKEOVER,advanced,b58b953f-d67e-4733-a6d4-68753672734a,0.0
atk-7da2bbcd,11,1,0,0,12,1383.0,28.63340563991323,89.7,11.0,11.0,486.0,1,0,0,-1.0,0,-1.0,0,0,2172.6981818181816,5701.39,162.45,2023.816832175455,0.9314762856209793,0,-1.0,1,1,ACCOUNT_TAKEOVER,advanced,1e6c9584-c4ed-4037-896c-cf880ebae805,0.0
atk-f4bf3df3,9,1,1,1,12,155482.0,0.2083842502669119,19417.625,11.0,9.0,141.0,1,0,1,141.0,1,154419.0,0,0,2609.4644444444443,3368.25,2000.59,476.366458239665,0.18255334317884664,0,-1.0,1,1,ACCOUNT_TAKEOVER,advanced,f777751c-882f-4233-a7ef-03edb93bbaa7,13.008502620639016
atk-b268ea4a,8,1,1,1,11,1506.0,19.12350597609562,92.71428571428571,23.0,8.0,857.0,1,0,1,557.0,1,0.0,0,0,2598.50875,5448.43,727.43,1864.7068553356953,0.7176065331069966,0,-1.0,1,1,ACCOUNT_TAKEOVER,advanced,f08ca729-5847-4f8d-b5af-fdca2bb34649,-0.6384162735164621
atk-30a559cd,0,1,1,1,3,168960.0,0.0,168960.0,168960.0,0.0,-1.0,1,0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,ACCOUNT_TAKEOVER,advanced,be320c10-0536-42fa-9ab9-6e1d11f1ca07,0.0
atk-6f5bd8bd,8,1,0,0,9,122584.0,0.2349409384585264,17495.714285714286,9.0,8.0,114.0,1,0,0,-1.0,0,-1.0,0,0,2510.59375,4515.02,968.74,1373.6603507412003,0.5471456107708387,0,-1.0,1,1,ACCOUNT_TAKEOVER,advanced,e30956cf-103e-4fa5-96e1-f31bbf26c6d7,0.0
atk-b9bd715f,14,1,0,1,16,96978.0,0.5197055002165439,7434.384615384615,15.0,14.0,331.0,1,0,0,-1.0,1,0.0,0,0,1604.8464285714285,3971.33,223.81,1138.4456872270264,0.7093798303432848,0,-1.0,1,1,ACCOUNT_TAKEOVER,advanced,5ff212f1-a315-498a-a3d1-9afa715056c5,-1.0293167533243979
